Время старта;Время завершения;Печь;Номер программы выпечки;Номер духовки;Количество духовок;Длительность
2024-10-31T07:40:25.000000;2024-10-31T07:53:54.000000;Печь 1;1;2;2;0 days 00:13:29
2024-10-31T17:10:53.000000;2024-10-31T17:22:12.000000;Печь 1;1;2;2;0 days 00:11:19
2024-11-01T14:02:51.000000;2024-11-01T14:16:40.000000;Печь 1;1;2;2;0 days 00:13:49
2024-11-01T17:38:10.000000;2024-11-01T17:51:49.000000;Печь 1;1;2;2;0 days 00:13:39
2024-11-02T10:09:01.000000;2024-11-02T10:22:30.000000;Печь 1;1;2;2;0 days 00:13:29
2024-10-31T07:39:32.000000;2024-10-31T07:42:41.000000;Печь 2;3;2;2;0 days 00:03:09
2024-10-31T18:34:27.000000;2024-10-31T18:37:06.000000;Печь 2;3;2;2;0 days 00:02:39
2024-11-01T07:35:59.000000;2024-11-01T07:39:18.000000;Печь 2;3;2;2;0 days 00:03:19
2024-11-01T09:55:26.000000;2024-11-01T09:58:35.000000;Печь 2;3;2;2;0 days 00:03:09
2024-11-01T12:42:06.000000;2024-11-01T12:45:15.000000;Печь 2;3;2;2;0 days 00:03:09
2024-11-01T18:35:15.000000;2024-11-01T18:37:54.000000;Печь 2;3;2;2;0 days 00:02:39
2024-11-02T07:48:09.000000;2024-11-02T07:51:28.000000;Печь 2;3;2;2;0 days 00:03:19
2024-11-01T12:26:02.000000;2024-11-01T12:52:11.000000;Печь 1;2;1;2;0 days 00:26:09
2024-11-01T16:45:04.000000;2024-11-01T17:11:13.000000;Печь 1;2;1;2;0 days 00:26:09
2024-11-02T10:09:03.000000;2024-11-02T10:35:02.000000;Печь 1;2;1;2;0 days 00:25:59
2024-10-31T08:02:38.000000;2024-10-31T08:05:47.000000;Печь 1;3;1;2;0 days 00:03:09
2024-10-31T10:44:00.000000;2024-10-31T10:47:29.000000;Печь 1;3;1;2;0 days 00:03:29
2024-11-02T11:34:06.000000;2024-11-02T11:37:55.000000;Печь 1;3;1;2;0 days 00:03:49
2024-10-31T07:56:41.000000;2024-10-31T08:02:10.000000;Печь 1;5;2;2;0 days 00:05:29
2024-11-01T07:51:16.000000;2024-11-01T07:57:15.000000;Печь 1;5;2;2;0 days 00:05:59
2024-11-01T17:14:54.000000;2024-11-01T17:19:03.000000;Печь 1;5;2;2;0 days 00:04:09
2024-10-31T11:57:51.000000;2024-10-31T12:01:01.000000;Печь 2;3;1;2;0 days 00:03:10
2024-10-31T15:25:00.000000;2024-10-31T15:28:19.000000;Печь 2;3;1;2;0 days 00:03:19
2024-10-31T08:32:52.000000;2024-10-31T08:39:01.000000;Печь 1;5;1;2;0 days 00:06:09
2024-10-31T12:41:33.000000;2024-10-31T12:47:52.000000;Печь 1;5;1;2;0 days 00:06:19
2024-10-31T15:00:18.000000;2024-10-31T15:06:27.000000;Печь 1;5;1;2;0 days 00:06:09
2024-11-01T07:53:19.000000;2024-11-01T07:59:28.000000;Печь 1;5;1;2;0 days 00:06:09
2024-11-01T14:08:38.000000;2024-11-01T14:14:57.000000;Печь 1;5;1;2;0 days 00:06:19
2024-11-02T07:40:22.000000;2024-11-02T07:46:31.000000;Печь 1;5;1;2;0 days 00:06:09
2024-11-02T11:23:41.000000;2024-11-02T11:29:40.000000;Печь 1;5;1;2;0 days 00:05:59
2024-10-31T17:03:53.000000;2024-10-31T17:06:22.000000;Печь 1;3;2;2;0 days 00:02:29
2024-11-01T08:02:31.000000;2024-11-01T08:05:40.000000;Печь 1;3;2;2;0 days 00:03:09
2024-11-01T17:08:11.000000;2024-11-01T17:11:20.000000;Печь 1;3;2;2;0 days 00:03:09
2024-11-02T07:52:05.000000;2024-11-02T07:55:13.000000;Печь 1;3;2;2;0 days 00:03:08
2024-10-31T12:52:56.000000;2024-10-31T13:16:25.000000;Печь 1;4;1;2;0 days 00:23:29
2024-10-31T16:34:47.000000;2024-10-31T16:58:16.000000;Печь 1;4;1;2;0 days 00:23:29
2024-11-01T06:53:29.000000;2024-11-01T07:17:28.000000;Печь 1;4;1;2;0 days 00:23:59
2024-11-01T17:43:29.000000;2024-11-01T18:06:47.000000;Печь 1;4;1;2;0 days 00:23:18
2024-11-02T06:53:49.000000;2024-11-02T07:17:48.000000;Печь 1;4;1;2;0 days 00:23:59
2024-10-31T07:07:36.000000;2024-10-31T07:31:35.000000;Печь 3;4;1;1;0 days 00:23:59
2024-10-31T14:16:24.000000;2024-10-31T14:39:14.000000;Печь 3;4;1;1;0 days 00:22:50
2024-10-31T16:47:05.000000;2024-10-31T17:10:24.000000;Печь 3;4;1;1;0 days 00:23:19
2024-11-01T07:06:53.000000;2024-11-01T07:31:12.000000;Печь 3;4;1;1;0 days 00:24:19
2024-11-01T10:00:39.000000;2024-11-01T10:24:18.000000;Печь 3;4;1;1;0 days 00:23:39
2024-11-01T12:18:20.000000;2024-11-01T12:41:49.000000;Печь 3;4;1;1;0 days 00:23:29
2024-11-01T15:13:02.000000;2024-11-01T15:36:51.000000;Печь 3;4;1;1;0 days 00:23:49
2024-11-02T07:07:16.000000;2024-11-02T07:31:24.000000;Печь 3;4;1;1;0 days 00:24:08
2024-11-02T10:15:33.000000;2024-11-02T10:39:12.000000;Печь 3;4;1;1;0 days 00:23:39
2024-10-31T07:39:07.000000;2024-10-31T07:45:36.000000;Печь 2;5;1;2;0 days 00:06:29
2024-11-01T07:35:32.000000;2024-11-01T07:41:51.000000;Печь 2;5;1;2;0 days 00:06:19
2024-11-02T07:29:56.000000;2024-11-02T07:36:15.000000;Печь 2;5;1;2;0 days 00:06:19
2024-11-02T11:31:08.000000;2024-11-02T11:37:17.000000;Печь 2;5;1;2;0 days 00:06:09
2024-10-31T10:42:40.000000;2024-10-31T11:06:19.000000;Печь 1;4;2;2;0 days 00:23:39
2024-11-01T06:53:29.000000;2024-11-01T07:17:18.000000;Печь 1;4;2;2;0 days 00:23:49
2024-11-01T16:41:35.000000;2024-11-01T17:04:54.000000;Печь 1;4;2;2;0 days 00:23:19
2024-11-02T06:53:48.000000;2024-11-02T07:17:37.000000;Печь 1;4;2;2;0 days 00:23:49
2024-10-31T13:15:46.000000;2024-10-31T13:21:44.000000;Печь 3;5;1;1;0 days 00:05:58
2024-10-31T18:59:54.000000;2024-10-31T19:05:42.000000;Печь 3;5;1;1;0 days 00:05:48
2024-11-01T16:34:47.000000;2024-11-01T16:40:46.000000;Печь 3;5;1;1;0 days 00:05:59
2024-10-31T11:52:26.000000;2024-10-31T12:06:15.000000;Печь 3;1;1;1;0 days 00:13:49
2024-10-31T16:04:21.000000;2024-10-31T16:18:00.000000;Печь 3;1;1;1;0 days 00:13:39
2024-11-01T11:44:56.000000;2024-11-01T11:58:25.000000;Печь 3;1;1;1;0 days 00:13:29
2024-11-02T10:47:34.000000;2024-11-02T11:00:53.000000;Печь 3;1;1;1;0 days 00:13:19
2024-10-31T11:26:23.000000;2024-10-31T11:51:32.000000;Печь 3;2;1;1;0 days 00:25:09
2024-11-01T11:12:55.000000;2024-11-01T11:38:44.000000;Печь 3;2;1;1;0 days 00:25:49
2024-10-31T09:19:43.000000;2024-10-31T09:25:52.000000;Печь 2;5;2;2;0 days 00:06:09
2024-10-31T10:37:57.000000;2024-10-31T10:44:16.000000;Печь 2;5;2;2;0 days 00:06:19
2024-10-31T13:56:27.000000;2024-10-31T14:02:26.000000;Печь 2;5;2;2;0 days 00:05:59
2024-10-31T14:43:02.000000;2024-10-31T14:48:41.000000;Печь 2;5;2;2;0 days 00:05:39
2024-10-31T15:49:24.000000;2024-10-31T15:54:33.000000;Печь 2;5;2;2;0 days 00:05:09
2024-10-31T18:26:36.000000;2024-10-31T18:31:25.000000;Печь 2;5;2;2;0 days 00:04:49
2024-11-01T09:39:23.000000;2024-11-01T09:45:22.000000;Печь 2;5;2;2;0 days 00:05:59
2024-11-01T11:30:27.000000;2024-11-01T11:35:56.000000;Печь 2;5;2;2;0 days 00:05:29
2024-11-01T13:51:11.000000;2024-11-01T13:57:20.000000;Печь 2;5;2;2;0 days 00:06:09
2024-11-01T14:35:17.000000;2024-11-01T14:40:46.000000;Печь 2;5;2;2;0 days 00:05:29
2024-11-01T14:57:31.000000;2024-11-01T15:03:20.000000;Печь 2;5;2;2;0 days 00:05:49
2024-11-01T15:07:17.000000;2024-11-01T15:12:36.000000;Печь 2;5;2;2;0 days 00:05:19
2024-11-01T15:41:50.000000;2024-11-01T15:47:29.000000;Печь 2;5;2;2;0 days 00:05:39
2024-11-01T15:54:20.000000;2024-11-01T15:59:49.000000;Печь 2;5;2;2;0 days 00:05:29
2024-11-01T18:27:49.000000;2024-11-01T18:32:38.000000;Печь 2;5;2;2;0 days 00:04:49
2024-10-31T07:16:04.000000;2024-10-31T07:30:13.000000;Печь 2;1;1;2;0 days 00:14:09
2024-10-31T14:13:04.000000;2024-10-31T14:26:53.000000;Печь 2;1;1;2;0 days 00:13:49
2024-10-31T18:25:03.000000;2024-10-31T18:37:22.000000;Печь 2;1;1;2;0 days 00:12:19
2024-11-01T07:15:42.000000;2024-11-01T07:30:01.000000;Печь 2;1;1;2;0 days 00:14:19
2024-11-01T10:50:04.000000;2024-11-01T11:03:53.000000;Печь 2;1;1;2;0 days 00:13:49
